DATA,LEAGUE,HOME,SCORE,AWAY,1,X,2,CLOSING ODDS,CLOSING_DRAW,Unnamed: 10,SCORE_HOME,SCORE_AWAY,RESULTS,"0,5gls","1,5gls","2,5gls","3,5gls","4,5gls",BTTS,TOTAL_GOALS
2019-03-21 00:00:00,EURO Cup ,Kazakhstan,3-0,Scotland,4.72,3.55,1.85,4.09,3.18,2.14,3,0,1,1,1,1,0,0,NO,3
2019-03-21 00:00:00,EURO Cup ,Cyprus,5-0,San Marino,1.02,20.47,41.94,1.07,11.81,30.52,5,0,1,1,1,1,1,1,NO,5
2019-03-21 00:00:00,EURO Cup ,Austria,0-1,Poland,2.57,3.43,2.86,2.49,3.21,3.21,0,1,2,1,0,0,0,0,NO,1
2019-03-21 00:00:00,EURO Cup ,Israel,1-1,Slovenia,2.62,3.34,2.86,2.18,3.34,3.74,1,1,0,1,1,0,0,0,YES,2
2019-03-21 00:00:00,EURO Cup ,Northern Ireland,2-0,Estonia,1.47,4.18,8.39,1.4,4.35,10.46,2,0,1,1,1,0,0,0,NO,2
2019-03-21 00:00:00,EURO Cup ,Croatia,2-1,Azerbaijan,1.1,9.07,27.12,1.11,9.06,27.26,2,1,1,1,1,1,0,0,YES,3
2019-03-21 00:00:00,EURO Cup ,Netherlands,4-0,Belarus,1.14,8.41,20.23,1.13,8.72,19.31,4,0,1,1,1,1,1,0,NO,4
2019-03-21 00:00:00,EURO Cup ,North Macedonia,3-1,Latvia,1.52,4.16,7.17,1.39,4.47,10.4,3,1,1,1,1,1,1,0,YES,4
2019-03-21 00:00:00,EURO Cup ,Slovakia,2-0,Hungary,1.75,3.75,5.12,2.01,3.29,4.46,2,0,1,1,1,0,0,0,NO,2
2019-03-21 00:00:00,EURO Cup ,Belgium,3-1,Russia,1.29,5.81,10.45,1.42,4.63,8.1,3,1,1,1,1,1,1,0,YES,4
2019-03-22 00:00:00,EURO Cup ,Bulgaria,1-1,Montenegro,2.23,3.39,3.48,2.22,3.27,3.7,1,1,0,1,1,0,0,0,YES,2
2019-03-22 00:00:00,EURO Cup ,Portugal,0-0,Ukraine,1.47,4.37,7.69,1.41,4.67,9.07,0,0,0,0,0,0,0,0,NO,0
2019-03-22 00:00:00,EURO Cup ,Albania,0-2,Turkey,3.94,3.34,2.08,4.07,3.26,2.11,0,2,2,1,1,0,0,0,NO,2
2019-03-22 00:00:00,EURO Cup ,Moldova,1-4,France,21.89,8.75,1.11,29.99,10.7,1.08,1,4,2,1,1,1,1,1,YES,5
2019-03-22 00:00:00,EURO Cup ,England,5-0,Czech,1.23,6.03,15.77,1.32,5.04,12.67,5,0,1,1,1,1,1,1,NO,5
2019-03-22 00:00:00,EURO Cup ,Luxembourg,2-1,Lithuania,2.46,3.28,3.01,2.14,3.15,3.94,2,1,1,1,1,1,0,0,YES,3
2019-03-22 00:00:00,EURO Cup ,Andorra,0-2,Iceland,14.71,7.81,1.15,12.6,5.77,1.25,0,2,2,1,1,0,0,0,NO,2
2019-03-23 00:00:00,EURO Cup ,Georgia,0-2,Switzerland,6.56,3.95,1.58,5.72,3.73,1.71,0,2,2,1,1,0,0,0,NO,2
2019-03-23 00:00:00,EURO Cup ,Sweden,2-1,Romania,1.72,3.68,5.46,1.85,3.38,5.22,2,1,1,1,1,1,0,0,YES,3
